attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
419996421,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-01-30,0,2
-1796823165,China,"Isolated Attacks","Confirmed Suicide",2002-02-01,1,4
-946785687,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-02-16,2,30
-468429569,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-02-18,1,2
1248796279,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-02-18,3,2
363865568,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-02-19,0,0
736217851,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-02-27,0,3
-1327073097,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-02,11,57
-1291625933,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-05,1,20
-1191107171,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-07,0,10
-949328554,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-09,11,64
1648697125,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-17,0,25
-1995518839,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-20,7,30
-1943281747,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-21,3,87
2124823697,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-22,0,2
-928676043,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-27,30,152
500376473,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-29,3,23
-1673390009,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-30,0,32
1594458277,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-30,1,1
-1310222839,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-31,15,40
-475360979,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-03-31,0,6
-2081651973,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-01,10,20
-2000398831,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-01,1,3
1249659584,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-02,0,0
1279559861,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-10,10,17
1224538349,Tunisia,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-04-11,21,0
1312591129,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-12,6,95
-672954563,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-19,0,2
1232755489,"Palestinian Territory, Occupied","Palestinian Resistance vs. Israel","Confirmed Suicide",2002-04-20,0,0
-871205190,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-07,16,55
322487549,Pakistan,"Al Qaeda vs. U.S. & Allies","Confirmed Suicide",2002-05-08,15,21
-1487593365,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-19,3,55
-253414857,Israel,"Palestinian Resistance vs. Israel","Confirmed Suicide",2002-05-20,0,0
